Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides WT_1	Peptides WT_2	Peptides WT_3	Peptides KO_1	Peptides KO_2	Peptides KO_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Razor + unique peptides KO_1	Razor + unique peptides KO_2	Razor + unique peptides KO_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Unique peptides KO_1	Unique peptides KO_2	Unique peptides KO_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type WT_1	Identification type WT_2	Identification type WT_3	Identification type KO_1	Identification type KO_2	Identification type KO_3	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Sequence coverage KO_1 [%]	Sequence coverage KO_2 [%]	Sequence coverage KO_3 [%]	Intensity	Intensity WT_1	Intensity WT_2	Intensity WT_3	Intensity WT_4	Intensity KO_1	Intensity KO_2	Intensity KO_3	Intensity KO_4	iBAQ	iBAQ WT_1	iBAQ WT_2	iBAQ WT_3	iBAQ KO_1	iBAQ KO_2	iBAQ KO_3	MS/MS count WT_1	MS/MS count WT_2	MS/MS count WT_3	MS/MS count KO_1	MS/MS count KO_2	MS/MS count KO_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	reshuffled	reshuffled (#1)
A0A1W2PNV4	A0A1W2PNV4	14	2	0	NA	NA	Uncharacterized protein OS=Homo sapiens PE=4 SV=1	1	14	2	0	11	11	12	12	13	13	0	0	0	0	1	1	0	0	0	0	0	0	28.4	3.7	0.0	75.872	684	684	1.0	9	0.0	5.3224	By matching	By matching	By matching	By matching	By MS/MS	By matching	18.0	22.2	24.7	24.7	25.9	27.2	4.2191E7	NA	NA	NA	1.764587934312288E7	NA	4431229.257934282	1242353.5341465436	2.0573911217876606E7	1140300.0	0.0	0.0	0.0	0.0	136660.0	118410.0	0	0	0	0	1	0	9	NA	NA	NA	30	NA	1.0
A0A1W2PQS6;O95989	A0A1W2PQS6	9;2	2;2	2;2	NA	NA	RPS10-NUDT3 readthrough OS=Homo sapiens GN=RPS10-NUDT3 PE=4 SV=1	2	9	2	2	7	8	7	7	7	7	0	1	0	0	0	0	0	1	0	0	0	0	28.2	6.5	6.5	33.14	291	291;172	1.0	16	0.0019186	1.8991	By matching	By matching	By matching	By matching	By matching	By matching	21.6	25.1	21.6	21.6	21.6	21.6	8.6875E7	NA	1454052.9254079233	NA	3559576.9924675194	NA	NA	NA	3.1459265572252035E7	4343700.0	0.0	271070.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	7	NA	NA	NA	31	NA	1.0
A0A1W2PRB8;Q9H0W9;Q9NVC6	A0A1W2PRB8;Q9H0W9	3;2;1	3;2;1	3;2;1	Ester hydrolase C11orf54	C11orf54	Uncharacterized protein OS=Homo sapiens PE=4 SV=1;Ester hydrolase C11orf54 OS=Homo sapiens GN=C11orf54 PE=1 SV=1	3	3	3	3	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	4.8	4.8	4.8	93.444	838	838;315;651	1.0	27	0.0	4.3367	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	1.4	1.4	1.4	3.5	1.4	1.4	1.5139E8	7278034.61714501	2113210.345162902	6789013.351966111	2.1373665453146446E8	9675544.987575037	4720476.968033782	2074351.320853035	2.0333743908243847E8	3604600.0	136210.0	189100.0	149760.0	274350.0	133680.0	167400.0	2	1	0	2	1	1	22	NA	NA	NA	32	NA	1.0
A0AVT1	A0AVT1	29	29	29	Ubiquitin-like modifier-activating enzyme 6	UBA6	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1	1	29	29	29	9	8	11	15	18	12	9	8	11	15	18	12	9	8	11	15	18	12	36.8	36.8	36.8	117.97	1052	1052	1.0	336	0.0	42.638	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.7	10.1	11.5	17.6	20.0	12.6	1.9205E9	5.417155603668679E7	1.4595970367597535E7	6.832906896512447E7	5.417155603668679E7	5.859335219300498E7	8.421079319772218E7	3.881633121473227E7	5.859335219300498E7	3.0007E7	688540.0	867910.0	1012700.0	1118300.0	1638900.0	1291300.0	6	3	5	13	12	6	251	NA	NA	NA	35	NA	NA
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.4	1.4	1.4	102.36	921	921	1.0	5	0.0021254	1.8743	NA	NA	NA	NA	By matching	NA	0.0	0.0	0.0	0.0	1.4	0.0	1.9776E7	NA	NA	NA	1.3797653532404748E8	NA	3716122.176726054	NA	NA	373130.0	0.0	0.0	0.0	0.0	79147.0	0.0	0	0	0	0	0	0	1	NA	NA	NA	36	NA	1.0
A1L0T0	A1L0T0	6	6	6	Acetolactate synthase-like protein	ILVBL	Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2	1	6	6	6	1	0	0	4	4	3	1	0	0	4	4	3	1	0	0	4	4	3	12.8	12.8	12.8	67.867	632	632	1.0	63	0.0	7.9928	By matching	NA	NA	By MS/MS	By MS/MS	By MS/MS	1.6	0.0	0.0	8.4	8.4	7.0	2.4693E8	5320155.426961487	NA	NA	NA	1.7536605885535937E7	1.3779263619907174E7	1.0612251506734394E7	4291075.3159027295	8231000.0	143570.0	0.0	0.0	751160.0	587390.0	976850.0	0	0	0	4	2	2	46	NA	NA	NA	37	NA	1.0
A3KN83	A3KN83	2	2	2	Protein strawberry notch homolog 1	SBNO1	Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	2.4	154.31	1393	1393	1.0	2	2.3663E-4	2.7485	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	2	NA	NA	NA	40	NA	1.0
A4D1E9	A4D1E9	4	4	4	Protein A	GTPBP10	Protein A OS=Homo sapiens GN=GTPBP10 PE=1 SV=1	1	4	4	4	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	16.0	16.0	16.0	42.932	387	387	1.0	18	0.0	7.7449	NA	By matching	By MS/MS	NA	NA	NA	0.0	5.7	4.4	0.0	0.0	0.0	7.1602E7	NA	2046101.616353906	1.0655091614676483E7	NA	NA	NA	NA	NA	2469000.0	0.0	268160.0	343390.0	0.0	0.0	0.0	0	0	1	0	0	0	13	NA	NA	NA	41	NA	1.0
A5YKK6	A5YKK6	20	20	20	CCR4-NOT transcription complex subunit 1	CNOT1	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	1	20	20	20	6	6	4	9	7	8	6	6	4	9	7	8	6	6	4	9	7	8	9.3	9.3	9.3	266.94	2376	2376	1.0	172	0.0	37.894	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.5	2.7	1.7	4.2	3.2	3.7	1.0503E9	5.534766416326038E7	1.3088101880970107E7	4.124878745089058E7	3.59827171628789E8	3.9173530856981024E7	3.2866689329524826E7	1.509943529843327E7	2.9656800116743976E8	7722500.0	334770.0	364760.0	288140.0	368130.0	313370.0	288150.0	3	3	2	8	6	6	140	NA	NA	NA	42	NA	1.0
A6NDG6	A6NDG6	13	13	13	Phosphoglycolate phosphatase	PGP	Glycerol-3-phosphate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	1	13	13	13	7	7	7	10	11	9	7	7	7	10	11	9	7	7	7	10	11	9	60.1	60.1	60.1	34.006	321	321	1.0	198	0.0	58.625	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.5	30.5	26.5	39.9	45.2	37.4	2.1098E9	7.199297004888685E7	1.9154319730065774E7	8.885517410042499E7	2.0002478788337526E8	8.556356129351291E7	9.45322837003024E7	4.471697811349969E7	2.4618402190188134E8	1.1104E8	3066400.0	3854700.0	4432200.0	5384400.0	6068900.0	4796300.0	7	7	6	8	9	7	186	NA	NA	NA	43	NA	1.0
A6NFQ2;A0A1B0GVM2	A6NFQ2;A0A1B0GVM2	2;1	2;1	2;1	TRPM8 channel-associated factor 2	TCAF2	TRPM8 channel-associated factor 2 OS=Homo sapiens GN=TCAF2 PE=1 SV=2;Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1	2	2	2	2	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	4.1	4.1	4.1	100.9	919	919;712	1.0	24	0.0	17.063	By MS/MS	By MS/MS	NA	By MS/MS	By MS/MS	By matching	2.4	2.4	0.0	2.4	2.4	2.4	1.4594E7	890579.7772985382	NA	NA	1.3660946992637544E9	972197.0459066126	1597896.8888416754	268900.4522413553	1.2907784005977204E9	416970.0	18219.0	0.0	0.0	25442.0	44826.0	29383.0	1	1	0	1	3	0	24	NA	NA	NA	44	NA	1.0
A6NHQ2	A6NHQ2	4	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2	1	4	1	1	3	4	4	4	3	4	0	1	1	1	0	1	0	1	1	1	0	1	14.7	3.3	3.3	34.803	334	334	1.0	18	2.4325E-4	3.0878	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	11.4	14.7	14.7	14.7	11.4	14.7	1.0128E9	NA	1.3058093189806992E7	6.644128520079574E7	5275453.283501964	5.018712444076587E7	NA	2.6998669173633263E7	1.179586025774194E7	4.22E7	0.0	2065400.0	2628800.0	2595200.0	0.0	2581500.0	0	1	1	1	0	0	12	NA	NA	NA	46	NA	1.0
A6NHR9	A6NHR9	14	14	14	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	1	14	14	14	2	3	3	2	8	7	2	3	3	2	8	7	2	3	3	2	8	7	8.5	8.5	8.5	226.37	2005	2005	1.0	129	0.0	23.156	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	1.0	1.5	1.4	1.2	4.8	4.5	4.2612E8	5.988268988161068E7	6212733.741300022	5.668905470821158E7	NA	6227628.293062803	2.336758914131948E7	5757035.496124228	7194820.08387587	3355300.0	30269.0	0.0	73722.0	61024.0	227270.0	134470.0	0	2	1	0	7	5	66	NA	NA	NA	47	1.0	1.0
A6NJ78	A6NJ78	1	1	1	Probable methyltransferase-like protein 15	METTL15	Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=1 SV=1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	3.2	3.2	3.2	46.121	407	407	1.0	18	0.0096805	1.2632	By matching	NA	By matching	By matching	By MS/MS	By matching	3.2	0.0	3.2	3.2	3.2	3.2	4.9944E7	9.85443342679169E7	2.0479323180025753E7	8.43737728781418E7	6439973.521733148	2158196.13020128	NA	1016594.4823527702	1.124774297183201E7	1920900.0	108620.0	0.0	108100.0	88110.0	0.0	135790.0	0	0	0	0	1	0	5	NA	NA	NA	48	1.0	1.0
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	18;16	1;1	1;1	RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=3 SV=2;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens GN=RGPD4 PE=2 SV=3	2	18	1	1	5	8	5	10	9	11	1	0	0	1	1	1	1	0	0	1	1	1	12.6	0.7	0.7	197.48	1758	1758;1758	1.0	19	0.0	5.075	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.1	5.2	3.3	6.6	5.7	7.5	1.6826E8	6754534.286698386	NA	NA	3.77031701961401E8	8765007.713453239	8480396.245858053	2499980.1070044683	4.042219686108802E8	1438100.0	45610.0	0.0	0.0	90645.0	87342.0	71118.0	0	0	0	1	1	1	17	NA	NA	NA	49	NA	1.0
A8CG34;Q96HA1	A8CG34;Q96HA1	4;3	4;3	4;3	Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121	POM121C;POM121	Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=1 SV=2;Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens GN=POM121 PE=1 SV=2	2	4	4	4	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	4.8	4.8	4.8	125.06	1229	1229;1249	1.0	30	0.0	7.7125	NA	NA	NA	By MS/MS	By MS/MS	By matching	0.0	0.0	0.0	1.9	1.9	1.9	8.618E7	NA	NA	NA	2.766398833149825E9	4019159.526185374	7448896.20991595	2245272.3887977223	2.648083204776203E9	2102000.0	0.0	0.0	0.0	115250.0	214230.0	181360.0	0	0	0	2	1	0	14	NA	NA	NA	51	NA	1.0
A8MXV4;REV__Q8L7U7;REV__Q9SKH9	A8MXV4	3;1;1	3;1;1	3;1;1	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	Nucleoside diphosphate-linked moiety X motif 19 OS=Homo sapiens GN=NUDT19 PE=1 SV=1	3	3	3	3	1	0	0	2	1	2	1	0	0	2	1	2	1	0	0	2	1	2	7.5	7.5	7.5	42.233	375	375;229;336	1.0	31	2.3821E-4	2.8219	By MS/MS	NA	NA	By MS/MS	By MS/MS	By MS/MS	1.6	0.0	0.0	4.8	1.6	4.8	1.7513E8	8186897.830384803	NA	NA	5.4040722711200505E7	5461522.911589646	5859424.259353918	4621569.045472171	4.3169566142213024E7	8339700.0	307490.0	0.0	0.0	313340.0	335060.0	658900.0	1	0	0	2	1	2	31	NA	NA	NA	55	NA	1.0
A9UHW6	A9UHW6	2	2	2	MIF4G domain-containing protein	MIF4GD	MIF4G domain-containing protein OS=Homo sapiens GN=MIF4GD PE=1 SV=1	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	8.6	8.6	8.6	25.423	222	222	1.0	13	0.0026954	1.7074	NA	NA	NA	By MS/MS	By matching	NA	0.0	0.0	0.0	3.6	3.6	0.0	3.1972E7	1.0104389284548348E8	2.0432110478987522E7	8.942960799992548E7	1.20624233760027E9	2484254.773427585	2595930.9837002773	NA	1.2565137846507359E9	1998300.0	0.0	0.0	0.0	162600.0	175500.0	0.0	0	0	0	1	0	0	9	NA	NA	NA	58	1.0	1.0
B0I1T2	B0I1T2	39	39	38	Unconventional myosin-Ig;Minor histocompatibility antigen HA-2	MYO1G	Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2	1	39	39	38	25	30	28	32	33	34	25	30	28	32	33	34	24	29	27	31	32	33	53.8	53.8	52.9	116.44	1018	1018	1.0	852	0.0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.3	39.4	36.6	38.9	43.7	44.7	1.1424E10	4.9404724873314214E8	1.1268741669302683E8	4.8077968025981796E8	4.9404724873314214E8	4.915050553452423E8	5.2204843163551617E8	4.951659720006452E8	4.915050553452423E8	1.904E8	6797300.0	7413400.0	7785200.0	8905600.0	9620900.0	1.02E7	26	22	26	37	33	32	695	NA	NA	NA	59	NA	NA
B4DLN1;Q9UBX3	B4DLN1;Q9UBX3	14;7	14;7	7;7	Mitochondrial dicarboxylate carrier	SLC25A10	cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier OS=Homo sapiens PE=2 SV=1;Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2	2	14	14	7	10	10	9	12	12	12	10	10	9	12	12	12	4	5	4	5	6	6	42.8	42.8	21.0	48.099	442	442;287	1.0	292	0.0	45.612	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.2	26.9	20.6	36.7	31.4	31.4	3.9296E9	2.0487647034447786E8	4.675063024680314E7	1.7203754212040552E8	6.732168680064443E7	1.3056729799268082E8	1.71180153894873E8	1.0958429130096316E8	6.869355811655962E7	1.5718E8	6649300.0	7269000.0	6565000.0	5945400.0	7943400.0	7307600.0	10	12	8	14	18	13	297	NA	NA	NA	62	NA	1.0
